Angle[rad]
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0113964
-0.0341992
-0.0341992
-0.0341992
-0.0570023
-0.0798051
-0.102608
