Distance[m]
4.79103
4.76005
4.71532
4.6703
4.62709
4.58207
4.53707
4.49206
4.44704
4.40202
4.35701
4.31201
4.26697
4.22195
4.17693
4.13192
4.0869
4.04189
3.99688
3.95186
3.90684
3.86183
3.81682
3.7718
3.72683
3.6818
3.63678
3.59177
3.54675
3.50172
3.45673
3.41171
3.3649
3.32169
3.27668
3.23166
3.18666
3.14165
3.09655
3.05161
3.00659
2.96158
2.91657
2.86976
2.82655
2.78153
2.7365
2.69152
2.6447
2.60149
2.55648
2.51147
2.46646
2.42145
2.37643
2.33146
2.28645
2.24144
2.19644
2.15143
2.10643
2.06141
2.0146
1.9696
1.92639
1.88138
1.83637
1.79135
1.74627
1.7012
1.65622
1.6113
1.56641
1.52129
1.47645
1.43151
1.38682
1.34218
